Tweet,Sentimentvalue,Sentiment
RT @olamide_YBNL: Lol RT @Titodafire: Awon Science students 🔥🔥🔥@olamide_YBNL Baba can’t go wrong!  Meanwhile I was a science student for 2w…,0.08750000000000002,positive
"@Siyabxnga_n Rainbow nation, new satafrika",0.13636363636363635,positive
"RT @AsanteKotoko_SC: TOP OF THE MORNING TO
PORCUPINES AROUND THE WORLD!

It's matchday today!

⚽ @AsanteKotoko_SC v Hearts of Oak
🏟 Baba Ya…",0.78125,positive
"@Tennis_Now Just the opening set*.
Your tweet makes it sound like the entire first round match",0.1125,positive
RT @Team_Arjun: #happybirthdaysidharthmalhotra ❤️😁 @S1dharthM the sweetest friend of Baba @arjunk26 ... wishing you all the luck and succes…,0.0,neutral
RT @WendellPierce: The Authoritarian State Is Here. The American Democracy Is Ending. I lived in Brooklyn for decades and was aware of this…,0.125,positive
"https://t.co/E53GSpZkwl
A dummy village created in shirdi where shows Sai Baba activity.
#Shirdi #saibaba #sai #ShirdiSaiBaba",0.0,neutral
@RailaOdinga  Baba we are more than ready....I think we are ready for Canaan more than before...#NRM,0.39999999999999997,positive
"@amasonic @BennyCapricorn Baba ,why will you say animals not reared shouldn't be eaten? Antelope ,grasscutter,porcupine phyton,bush pig....",0.0,neutral
@AsiwajuTinubu Happy birthday to u Baba Omo ke ke ke,0.8,positive
"TOP OF THE MORNING TO
PORCUPINES AROUND THE WORLD!

It's matchday today!

⚽ @AsanteKotoko_SC v Hearts of Oak
🏟 Baba… https://t.co/VPhg9ryz63",0.78125,positive
RT @zuluphill: @Siyabxnga_n @yela_ela Get our land boy!!!! https://t.co/xnIyauQK2u,0.0,neutral
"RT @T_Reformer: Today, on my way coming from #Lagos, my driver drove me through Baba Akande Trumpet Bridge at Gbongan Junction
All the pass…",0.0,neutral
"RT @iambackpage: Baba #Ramdev does a #Modi...
U-turns on foreign policy https://t.co/NAaHi2M6ua",-0.125,negative
"So, vacation is officially over. Off to work!",0.0,neutral
"@ClassicFM973 #Fpn, d story of d NIA s wat Baba 70 called ""Rere run"" no intelligence anywhere, they r just like d normal local govt workers.",0.075,positive
@hautness367 @AndiMakinana These people have been paranoid for as long as they have had Baba as their boss.,-0.05,negative
@mlkhattar .. nahi sambhal raha to chod do bhai ... Do some yoga class with baba ramdev .. why making cruelty happe… https://t.co/m5ZYSjVj5j,0.0,neutral
"RT @SubDeliveryTwit: Show Yourself Na

Baba Still Pick Race LMAOOOOO!😀🤣 https://t.co/qxqB3YEizS",0.0,neutral
RT @Minakshi96: @lostboy54 okay baba ! ❤️ jo hukum Aaj se Chilpians se no Baat 😏 Btw We love youuuuuuuu 😘😘 guchipooo,0.5625,positive
I added a video to a @YouTube playlist https://t.co/sseCyJStUw Baba Sadou Singh Ji,0.0,neutral
"RT @baefvlly: if you don’t like me, that sucks for you bc i’m amazing 🙂",0.15000000000000005,positive
"RT @SubDeliveryTwit: Show Yourself Na

Baba Still Pick Race LMAOOOOO!😀🤣 https://t.co/qxqB3YEizS",0.0,neutral
"@ItsOchieng When kalonzo,Mudavadi and Wetaa separate from Baba this last minutes,what will you call that?",0.0,neutral
"Lion's roar is always audible ""Baba Sahab Thakre""",0.0,neutral
The Secret Lives of Baba Segi's Wives is a fave,-0.4,negative
RT @Minakshi96: @lostboy54 okay baba ! ❤️ jo hukum Aaj se Chilpians se no Baat 😏 Btw We love youuuuuuuu 😘😘 guchipooo,0.5625,positive
"@HinaKhanNews @LuVinaFC @eyehinakhan @JJROCKXX Are nhi re baba sirf 1000 ka fark tha
21+21=30 hota hai 😂😂😂😂
Me me m… https://t.co/Y3YQ79mzXZ",0.0,neutral
"@Hammdriller Lol. Naija songs are not for you to understand baba. Just dey dance, dey catch your cool fun, dey go.",0.48333333333333334,positive
"RT @KayGee278: Unlike most shows #TheQueenMzansi doesn't have drama on Friday only, it's daily baba https://t.co/XLELflzdYQ",0.16666666666666666,positive
"RT @Lee_Moche: @Siyabxnga_n uMalume is promised land, only and only if he gets pregnant https://t.co/LRrQ6VXSFJ",0.1111111111111111,positive
@najwaanaf What happened to baba?,0.0,neutral
"RT @T_Reformer: Today, on my way coming from #Lagos, my driver drove me through Baba Akande Trumpet Bridge at Gbongan Junction
All the pass…",0.0,neutral
"RT @DEMOLAEXPOZE: You’re so hard on yourself. Take a moment today. Sit back. Marvel at your life: at the grief that softened you, at the he…",-0.36388888888888893,negative
"RT @SubDeliveryTwit: Show Yourself Na

Baba Still Pick Race LMAOOOOO!😀🤣 https://t.co/qxqB3YEizS",0.0,neutral
"RT @Chydee: LMAOOO. Baba said ""how much is it""? To be a billionaire is a beautiful thing abeg. 😂😂😍 https://t.co/H7TNnaIsla",0.525,positive
"@Littozach I know, I got your back baba 💙",0.0,neutral
"RT @JimNdula: @I_am_Gathoni @Disembe @RailaOdinga I'm also done if Baba, @RailaOdinga retires and if 30th January remains a normal calendar…",0.15,positive
RT @Minakshi96: @lostboy54 okay baba ! ❤️ jo hukum Aaj se Chilpians se no Baat 😏 Btw We love youuuuuuuu 😘😘 guchipooo,0.5625,positive
Floating Home: The Houseboat 9 By Graham Baba https://t.co/fmakdPqE4O,0.0,neutral
RT @AAAdeyeye: @WahidSaka @raufaregbesola @T_Reformer @cyberseye05 @TunsFarmsNig @deraufs @boamovement2018 @Mr_JAGs @allfuturevoice @titilo…,0.0,neutral
@Sporty_Baba It tasted good. But I missed the light crust of a Kakori more than I enjoyed the lightness of the pate.,0.525,positive
@lostboy54 okay baba ! ❤️ jo hukum Aaj se Chilpians se no Baat 😏 Btw We love youuuuuuuu 😘😘 guchipooo,0.5625,positive
@PTIofficial One word for Baba Black Berry “ Characterless Liar “,-0.16666666666666666,negative
RT @WahidSaka: @AAAdeyeye @raufaregbesola @T_Reformer @cyberseye05 @TunsFarmsNig @deraufs @boamovement2018 @Mr_JAGs @allfuturevoice @titilo…,0.0,neutral
"RT @itsdhruvism: GF: Raju i am really sorry but i love someone else.We have to break up

Chartered Accountant Raju:For god's sake it's not…",0.0,neutral
"The four stages  of BABA 

2016= Sai Baba 
2017= kai Baba 
2018= why Baba 
2019 = bye Baba 

This is not my handwriting oooo 😂😂😂😂😂
#stolen",0.0,neutral
RT @WahidSaka: @TOSINAJIBOYE @AAAdeyeye @raufaregbesola @T_Reformer @cyberseye05 @TunsFarmsNig @deraufs @boamovement2018 @Mr_JAGs @allfutur…,0.0,neutral
RT @joegrasmick: More on #NAFTAimmigration The sleeper NAFTA issue: Work visas https://t.co/ewNiiHw0U5 via @nationalpost,0.5,positive
"@obas_baba Which one was better, the first or the second?",0.25,positive
"Classifieds, Free Classifieds, Online Classifieds, Free Ads | Classifieds Citi https://t.co/v3KDizbp9C",0.4,positive
"@Aman__cfc It does surprise everyone how far they have gone. 
Signing Hazard under nose of United, Arsenal to signi… https://t.co/kjym7cscuk",0.1,positive
"RT @AsiwajuTinubu: Happy birthday to Chief Bisi Akande. Ex-governor,  former APC Interim Chairman, indefatigable leader and dependable ally…",0.4,positive
RT @WahidSaka: @AAAdeyeye @raufaregbesola @T_Reformer @cyberseye05 @TunsFarmsNig @deraufs @boamovement2018 @Mr_JAGs @allfuturevoice @titilo…,0.0,neutral
